label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
0.0	7.41461334533092	9.568307050054033	10.07427980695446	5.376	8.448	8.448	9.208	11.512	11.512	20021804.0
1.0	0.0	0.0	0.0	1.4381545078898524e+306	1.4381545078898524e+306	1.4381545078898524e+306	0.0	0.0	0.0	0.0
2.0	6.153226277372263	10.336	9.695883211678833	6.112	10.304	9.688	6.208	10.36	9.704	137.0
3.0	6.615030451999203	10.306500873814324	9.649554706184546	6.112	9.608	9.128	7.04	10.8	10.136000000000001	406837.0
4.0	6.377664596273292	10.192819875776397	9.631975155279502	6.328	10.128	9.6	6.464	10.24	9.656	644.0
5.0	6.375489361702128	10.300595744680852	9.481702127659576	6.36	10.28	9.472	6.4	10.312	9.496	47.0
6.0	6.414	10.284	9.44	6.408	10.272	9.44	6.424	10.296	9.44	8.0
7.0	6.4576	10.6768	9.208	6.448	10.672	9.208	6.464	10.68	9.208	5.0
8.0	6.529565217391304	9.873101449275362	9.62840579710145	6.472	9.824	9.608	6.5920000000000005	9.944	9.64	414.0
9.0	6.48	10.576	9.096	6.48	10.576	9.096	6.48	10.576	9.096	1.0
10.0	6.945600000000001	9.0912	10.432	6.936	9.088000000000001	10.432	6.952	9.096	10.432	5.0
11.0	7.963216879027251	9.080035474025896	10.335411722403803	6.944	8.64	9.536	8.832	9.424	11.064	803743.0
12.0	7.996	8.992	10.96	7.992	8.992	10.96	8.0	8.992	10.96	2.0
13.0	8.169411764705883	8.929882352941176	9.656	8.152000000000001	8.912	9.656	8.184000000000001	8.944	9.656	17.0
